2021,서울특별시,강동구,1256,1195,61,88,1,,15,653,1,110,6
2021,서울특별시,강북구,817,778,39,86,,1,28,632,1,64,8
2021,서울특별시,강서구,1789,1717,72,159,,,15,954,,127,4
2021,서울특별시,관악구,961,917,44,80,,2,64,952,,186,16
2021,서울특별시,광진구,1026,984,42,71,,3,7,834,,14,5
2021,서울특별시,구로구,943,907,36,73,,2,49,714,1,32,5
2021,서울특별시,금천구,576,548,28,68,,1,15,467,1,46,4
2021,서울특별시,노원구,1463,1395,68,40,,,9,590,1,18,5
2021,서울특별시,도봉구,945,898,47,44,,,16,384,2,20,4
2021,서울특별시,동대문구,692,649,43,78,,1,16,623,,65,8
2021,서울특별시,동작구,787,765,22,35,,2,4,574,,46,
2021,서울특별시,마포구,714,678,36,64,,35,2,1928,15,49,51
2021,서울특별시,서대문구,662,638,24,42,1,5,5,637,2,27,4
2021,서울특별시,서초구,469,450,19,85,1,16,8,921,3,42,23
2021,서울특별시,성동구,621,603,18,37,,2,15,568,,22,
2021,서울특별시,성북구,1042,1006,36,47,2,2,12,582,1,8,5
2021,서울특별시,송파구,1505,1431,74,139,2,2,10,1133,,85,7
2021,서울특별시,양천구,975,916,59,64,,,6,572,1,4,
2021,서울특별시,영등포구,724,694,30,194,,5,17,980,3,135,12
2021,서울특별시,용산구,321,305,16,91,,16,,1068,6,21,48
2021,서울특별시,은평구,2502,2431,71,129,,2,19,688,,78,6
2021,서울특별시,종로구,126,118,8,103,1,22,17,906,5,178,3
2021,서울특별시,중구,324,307,17,60,1,20,7,755,10,213,4
2021,서울특별시,중랑구,1535,1473,62,94,1,,9,686,,17,2
2021,울산광역시,남구,1122,1038,84,251,1,1,28,930,,518,27
2021,울산광역시,동구,544,469,75,54,3,4,22,252,1,176,1
2021,울산광역시,북구,557,501,56,21,3,10,24,234,9,47,2
2021,울산광역시,울주군,413,341,72,33,19,30,10,274,11,176,1
2021,울산광역시,중구,1036,941,95,66,1,1,19,320,,107,6
2021,인천광역시,강화군,43,38,5,18,1,,,67,,18,
2021,인천광역시,계양구,945,878,67,65,1,,19,428,1,96,3
2021,인천광역시,남동구,2191,1997,194,80,4,,22,895,1,198,11
2021,인천광역시,동구,68,60,8,5,,,,81,,2,
2021,인천광역시,미추홀구,1096,983,113,117,,2,41,771,,244,13
2021,인천광역시,부평구,2166,2037,129,109,,,22,851,1,169,9
2021,인천광역시,서구,1685,1485,200,72,,,22,755,2,59,4
2021,인천광역시,연수구,1009,912,97,33,2,2,2,591,4,75,8
2021,인천광역시,옹진군,2,0,2,2,,,,26,,22,1
2021,인천광역시,중구,304,261,43,56,1,25,9,266,25,88,1
2021,전라남도,강진군,27,24,3,5,1,1,7,59,1,31,
2021,전라남도,고흥군,33,29,4,43,2,,2,102,1,36,2
2021,전라남도,곡성군,9,7,2,4,4,1,,23,,5,
2021,전라남도,광양시,223,192,31,33,17,4,22,405,1,217,1
2021,전라남도,구례군,9,5,4,17,3,6,,25,,21,4
2021,전라남도,나주시,115,93,22,27,4,2,5,150,2,61,3
2021,전라남도,담양군,12,10,2,,5,20,,18,10,3,
2021,전라남도,목포시,555,489,66,138,8,10,20,807,1,151,6
2021,전라남도,무안군,163,132,31,8,9,,1,145,,21,
2021,전라남도,보성군,28,26,2,6,2,2,,42,,22,3
2021,전라남도,순천시,662,605,57,70,26,44,5,624,30,253,8
2021,전라남도,신안군,4,3,1,4,1,,,25,,21,
2021,전라남도,여수시,599,542,57,171,24,41,23,957,49,351,7
2021,전라남도,영광군,36,30,6,7,5,6,,65,4,50,1
2021,전라남도,영암군,29,23,6,16,3,8,5,83,,28,1
2021,전라남도,완도군,21,18,3,20,1,5,4,82,1,80,1
2021,전라남도,장성군,9,7,2,5,1,7,,14,1,8,1
2021,전라남도,장흥군,36,31,5,5,4,2,1,34,3,24,2
2021,전라남도,진도군,19,18,1,3,2,1,,58,,39,1
2021,전라남도,함평군,13,8,5,2,,1,,18,,6,
2021,전라남도,해남군,67,60,7,12,5,2,6,108,,53,5
2021,전라남도,화순군,210,199,11,9,15,1,3,55,,18,
2021,전라북도,고창군,46,38,8,5,4,,,42,1,27,1
2021,전라북도,군산시,483,427,56,62,17,2,7,591,2,227,12
2021,전라북도,김제시,77,67,10,10,9,2,4,90,,35,1
2021,전라북도,남원시,209,187,22,16,4,4,3,99,1,63,1
2021,전라북도,무주군,12,11,1,17,2,1,5,27,1,15,1
2021,전라북도,부안군,32,20,12,21,6,,,78,,34,1
2021,전라북도,순창군,14,12,2,1,1,1,,18,,14,
2021,전라북도,완주군,119,97,22,17,12,,3,98,1,32,3
2021,전라북도,익산시,497,436,61,107,20,,8,570,2,107,4
2021,전라북도,임실군,2,2,0,3,2,3,,14,,4,
2021,전라북도,장수군,2,1,1,4,,,,23,,11,
2021,전라북도,전주시 덕진구,666,593,73,55,16,2,18,569,2,152,4
2021,전라북도,전주시 완산구,879,809,70,114,2,53,8,859,27,120,11
2021,전라북도,정읍시,284,259,25,18,9,,1,149,,90,4
2021,전라북도,진안군,4,4,0,1,1,,,9,,8,
2021,제주특별자치도,서귀포시,272,239,33,138,3,167,4,394,209,258,7
2021,제주특별자치도,제주시,1154,1046,108,418,24,316,13,1177,266,513,13
2021,충청남도,계룡시,121,120,1,3,5,2,,35,1,18,
2021,충청남도,공주시,128,112,16,28,23,6,2,134,1,56,
2021,충청남도,금산군,65,51,14,2,11,2,,41,,21,
2021,충청남도,논산시,236,208,28,23,15,6,9,138,32,58,3
2021,충청남도,당진시,447,386,61,40,5,3,18,289,3,120,5
2021,충청남도,보령시,168,147,21,28,6,3,8,164,,63,7
2021,충청남도,부여군,59,50,9,28,4,7,6,75,3,35,
2021,충청남도,서산시,267,213,54,40,16,6,10,304,6,92,4
2021,충청남도,서천군,22,16,6,8,2,2,11,82,5,28,
2021,충청남도,아산시,758,644,114,83,17,1,28,487,,179,4
2021,충청남도,예산군,90,76,14,42,12,,20,117,,27,3
2021,충청남도,천안시 동남구,771,652,119,38,15,,11,361,1,64,4
2021,충청남도,천안시 서북구,814,725,89,50,7,1,19,772,,262,14
2021,충청남도,청양군,10,10,0,8,3,,1,21,,14,
2021,충청남도,태안군,56,41,15,17,5,1,,92,2,40,1
2021,충청남도,홍성군,292,262,30,27,7,,2,123,,59,3
2021,충청북도,괴산군,9,9,0,9,4,,1,25,2,8,
2021,충청북도,단양군,9,7,2,18,,2,1,33,,11,
2021,충청북도,보은군,11,9,2,12,6,,,30,,21,2
2021,충청북도,영동군,30,28,2,4,4,,6,38,,33,
2021,충청북도,옥천군,45,42,3,9,6,,7,38,,23,
2021,충청북도,음성군,129,120,9,39,13,,10,190,,114,2
2021,충청북도,제천시,296,281,15,46,10,1,3,279,1,95,2
2021,충청북도,증평군,133,125,8,10,7,,3,67,,34,2
2021,충청북도,진천군,134,124,10,18,16,,3,136,,83,
2021,충청북도,청주시 상당구,789,754,35,66,11,1,20,296,,51,3
2021,충청북도,청주시 서원구,678,654,24,10,2,,1,412,,2,2
2021,충청북도,청주시 청원구,539,522,17,34,6,1,13,354,,53,5
2021,충청북도,청주시 흥덕구,712,674,38,39,3,,36,509,,72,4
2021,충청북도,충주시,484,466,18,45,16,,15,421,1,177,8
