"signgu","sido","rpt_total","rpt_youthcrime","rpt_violence","cnt_danran","cnt_motel","cnt_accm_living","cnt_adultgame","cnt_bar","cnt_accm_travel","cnt_yuheung","cnt_club","cnt_bell"
"철원군","강원도",25,22,3,8,0,8,0,47,8,64,0,0
"청도군","경상북도",14,12,2,16,7,0,0,21,0,14,0,0
"청송군","경상북도",2,2,0,17,1,0,1,27,0,13,1,32
"청양군","충청남도",10,10,0,8,3,0,1,21,0,14,0,58
"청주시 상당구","충청북도",789,754,35,66,11,1,20,296,0,51,3,17
"청주시 서원구","충청북도",678,654,24,10,2,0,1,412,0,2,2,13
"청주시 청원구","충청북도",539,522,17,34,6,1,13,354,0,53,5,12
"청주시 흥덕구","충청북도",712,674,38,39,3,0,36,509,0,72,4,18
"춘천시","강원도",914,880,34,24,5,25,22,565,20,159,5,281
"충주시","충청북도",484,466,18,45,16,0,15,421,1,177,8,219
"칠곡군","경상북도",216,211,5,5,7,2,19,130,2,75,1,56
"태백시","강원도",46,39,7,27,2,6,8,60,5,56,0,53
"태안군","충청남도",56,41,15,17,5,1,0,92,2,40,1,34
"통영시","경상남도",165,146,19,51,5,43,2,300,38,284,8,67
"파주시","경기도",1261,1203,58,43,16,0,2,505,2,137,4,1895
"평창군","강원도",15,12,3,18,2,6,1,63,13,52,1,0
"평택시","경기도",1401,1303,98,91,10,0,24,945,2,589,14,1682
"포천시","경기도",336,327,9,45,16,0,9,242,2,147,2,33
"포항시 남구","경상북도",392,365,27,86,22,12,12,543,7,122,2,10
"포항시 북구","경상북도",442,430,12,120,11,10,7,517,6,193,12,21
"하남시","경기도",680,645,35,19,0,0,9,298,1,48,0,936
"하동군","경상남도",12,8,4,8,7,0,1,27,0,40,1,1
"함안군","경상남도",40,33,7,21,5,0,0,64,0,46,2,98
"함양군","경상남도",44,36,8,7,0,1,0,33,0,40,1,24
"함평군","전라남도",13,8,5,2,0,1,0,18,0,6,0,62
"합천군","경상남도",9,7,2,13,5,0,0,30,0,37,2,16
"해남군","전라남도",67,60,7,12,5,2,6,108,0,53,5,15
"해운대구","부산광역시",664,634,30,121,1,23,3,631,13,184,5,11
"홍성군","충청남도",292,262,30,27,7,0,2,123,0,59,3,2925
"홍천군","강원도",104,98,6,16,0,0,1,101,0,37,1,58
"화성시","경기도",2180,2044,136,56,5,0,20,953,5,268,4,45
"화순군","전라남도",210,199,11,9,15,1,3,55,0,18,0,428
"화천군","강원도",19,16,3,8,0,13,2,15,3,29,0,40
"횡성군","강원도",80,69,11,12,3,1,0,50,0,26,1,16
